མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
,,385,5,《པེ་》,པ་འགྱུར་ན་ཆགས་པ།,《སྣར་》,པར་འགྱུར་ན་ཡང་ཆགས་པ་ཡོད་པ།
,505,386,1,《པེ་》《སྣར་》,༼མེད།,
,,387,2,《པེ་》《སྣར་》,བལྟོས་པ།,
,,388,3,《པེ་》《སྣར་》,དུ།,
,506,389,1,《པེ་》《སྣར་》,༼ཅིའི་ཕྱིར་ཞེ་ན།,
,,390,2,《པེ་》《སྣར་》,བྱ་བ།,
,,391,3,《པེ་》《སྣར་》,ཅིག,
,507,392,1,《སྣར་》,རྟག,
,,393,2,《པེ་》《སྣར་》《ཅོ་》,གཉིས་ཡང་།,
,,394,3,《པེ་》《སྣར་》,ལ།,
,,395,4,《པེ་》《སྣར་》,ལྟ།,
,,396,5,《པེ་》《སྣར་》,གྱུར།,
,508,397,1,《པེ་》《སྣར་》,ཀྱང་།,
,,398,2,《པེ་》《སྣར་》,༼ལྟ།,
,,399,3,《པེ་》《སྣར་》,བརྟགས།,
,,400,4,《པེ་》《སྣར་》,ལྷག,
,,401,5,《པེ་》《སྣར་》,གནགས།,
,,402,6,《པེ་》《སྣར་》,རྐྱོང་།,
,,403,7,《པེ་》《སྣར་》,འདྲའོ།,
,510,404,1,《པེ་》《སྣར་》,ཀྱིས།,
,,405,2,《པེ་》《སྣར་》,ད།,
,,406,3,《པེ་》《སྣར་》,འཇིགས།,
,,407,4,《པེ་》《སྣར་》,ནས།,
,511,408,1,《པེ་》《སྣར་》,དེ།,
,,409,2,《པེ་》《སྣར་》,གི།,
,512,410,1,《པེ་》《སྣར་》,འབྲལ།,
,,411,2,《པེ་》《སྣར་》,མཚོན།,
,,412,3,《པེ་》《སྣར་》,མཚོན།,
,,413,4,《པེ་》《སྣར་》,དོ།,
,,414,5,《པེ་》《སྣར་》,བརྟག,
,,415,6,《པེ་》《སྣར་》,རེས་ནི།,
,,416,7,《པེ་》《སྣར་》,ད།,
,513,417,1,《པེ་》《སྣར་》,པོར།,
,,418,2,《པེ་》《སྣར་》,ག,
,,419,3,《པེ་》《སྣར་》,པ།,
,514,420,1,《པེ་》《སྣར་》,༼གི།,
,,421,2,《སྣར་》,རྟག,
,515,422,1,《པེ་》《སྣར་》,༽ཇེ།,
,,423,2,《པེ་》《སྣར་》,འདི།,
,,424,3,《པེ་》《སྣར་》《ཅོ་》,༽དེ།,
,,425,4,《པེ་》《སྣར་》,༽བས།,
,516,426,1,《པེ་》《སྣར་》,ལ།,
,,427,2,《པེ་》《སྣར་》,༽ཞིག,
,,428,3,《པེ་》《སྣར་》,ཞེས།,
,,429,4,《པེ་》《སྣར་》,༼དབུ་མ་རྩ་བའི་འགྲེལ་བ་བུད་ངྷ་པཱ་ལི་ཏ།,
,,430,5,《པེ་》《སྣར་》,དེའི།,
,517,431,1,《པེ་》《སྣར་》,༼ཐལ་བར།,
,,432,2,《པེ་》《སྣར་》,དེས།,
,,433,3,《པེ་》《སྣར་》,སྐྱེ་བས་མ་སྐྱེད།,
,,434,4,《པེ་》《སྣར་》,བའི།,
,,435,5,《པེ་》《སྣར་》,སྐྱེད།,
,,436,6,《པེ་》《སྣར་》,བསྐྱེད།,
,,437,7,《པེ་》《སྣར་》,བསྐྱེད།,
,518,438,1,《པེ་》《སྣར་》,བསྐྱེད།,
,,439,2,《པེ་》《སྣར་》,བརྟག,
,,440,3,《སྣར་》,ད།,
,,441,4,《པེ་》《སྣར་》,སྐྱེད།,
,,442,5,《པེ་》《སྣར་》,བསྐྱེད།,
,,443,6,《སྣར་》,ད།,
,,444,7,《པེ་》《སྣར་》,སྐྱེད།,
,,445,8,《པེ་》《སྣར་》,བྱེད་དོ།,
,519,446,1,《པེ་》《སྣར་》,སྒྲིབ།,
,,447,2,《པེ་》《སྣར་》,༽གྱི།,
,,448,3,《པེ་》《སྣར་》,༽ལ།,
,,449,4,《པེ་》《སྣར་》,པས།,
,,450,5,《པེ་》《སྣར་》,དེ་འདུག,
,,451,6,《པེ་》《སྣར་》,གང་།,
,,452,7,《པེ་》《སྣར་》,དེ།,
,,453,8,《པེ་》《སྣར་》,༼དེ།,
,,454,9,《པེ་》《སྣར་》,༽ཇི།,
,520,455,1,《པེ་》《སྣར་》,ན།,
,,456,2,《པེ་》《སྣར་》,ཚེ།,
,,457,3,《པེ་》《སྣར་》,བསལ།,
,,458,4,《པེ་》《སྣར་》,མེས་མ།,
,,459,5,《པེ་》《སྣར་》,པར།,
,521,460,1,《པེ་》《སྣར་》,༼ཀྱང་།,
,,461,2,《པེ་》《སྣར་》,བྱེད།,
